YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2016;9;M;84;3501;30
2016;9;M;83;3501;30
2016;9;M;84;3501;30
2016;9;M;115;3501;30
2016;9;M;86;3501;30
2016;9;M;89;3503;31
2016;9;M;81;3503;31
2016;9;M;80;3503;30
2016;9;M;89;3503;30
2016;9;M;80;3503;31
2016;9;M;89;3503;31
2016;9;M;83;3503;31
2016;9;M;58;3503;
2016;9;F;54;3503;31
2016;9;F;51;3503;31
2016;9;F;44;3503;32
2016;9;F;50;3503;32
2016;9;F;45;3503;32
2016;9;F;27;3503;
2016;9;F;22;3503;
2016;9;F;22;3503;
2016;9;F;13;3503;
2016;9;F;51;3503;32
2016;9;F;55;3503;31
2016;9;F;51;3503;32
2016;9;F;43;3503;32
2016;9;F;52;3503;32
2016;9;F;52;3503;32
2016;9;F;55;3503;32
2016;9;F;53;3503;32
2016;9;F;44;3503;32
2016;9;F;53;3503;32
2016;9;F;48;3503;32
2016;9;F;54;3503;31
2016;9;F;49;3503;31
2016;9;F;57;3503;32
2016;9;F;51;3503;31
2016;9;F;50;3503;31
2016;9;F;53;3503;31
2016;9;F;54;3503;31
2016;9;F;58;3503;32
2016;9;F;57;3503;31
2016;9;F;47;3503;31
2016;9;F;44;3503;32
2016;9;F;48;3503;31
2016;9;F;57;3503;32
2016;9;F;54;3503;31
2016;9;F;44;3503;31
2016;9;F;51;3503;32
2016;9;F;43;3503;31
2016;9;F;55;3503;31
2016;9;F;50;3503;31
2016;9;M;86;3503;32
2016;9;M;76;3503;32
2016;9;M;88;3503;31
2016;9;M;61;3503;31
2016;9;M;81;3503;31
2016;9;M;88;3503;31
2016;9;M;90;3503;31
2016;9;M;76;3503;31
2016;9;M;86;3503;31
2016;9;M;96;3503;32
2016;9;M;93;3503;31
2016;9;M;86;3503;30
2016;9;M;85;3503;30
2016;9;M;82;3503;31
2016;9;M;86;3503;31
2016;9;M;71;3503;31
2016;9;M;85;3503;31
2016;9;M;87;3503;31
2016;9;M;73;3503;32
2016;9;M;67;3503;32
2016;9;F;42;3503;32
2016;9;F;39;3503;32
2016;9;F;43;3503;32
2016;9;F;52;3503;32
2016;9;F;39;3503;32
2016;9;F;47;3503;32
2016;9;F;49;3503;32
2016;9;F;44;3503;32
2016;9;F;41;3503;32
2016;9;F;47;3503;31
2016;9;F;45;3503;32
2016;9;F;40;3503;32
2016;9;F;48;3503;32
2016;9;F;48;3503;32
2016;9;F;49;3503;32
2016;9;F;56;3503;32
2016;9;F;45;3503;32
2016;9;F;48;3503;32
2016;9;F;43;3503;32
2016;9;F;41;3503;32
2016;9;F;55;3503;32
2016;9;F;46;3503;31
2016;9;F;47;3503;31
2016;9;F;56;3503;31
2016;9;F;55;3503;31
2016;9;F;57;3503;31
2016;9;F;45;3503;31
2016;9;F;44;3503;31
2016;9;F;43;3503;31
2016;9;F;44;3503;31
2016;9;F;42;3503;31
2016;9;F;46;3503;31
2016;9;F;43;3503;31
2016;9;F;51;3503;31
2016;9;M;81;3503;32
2016;9;M;71;3503;32
2016;9;M;68;3503;32
2016;9;M;82;3503;30
2016;9;M;77;3503;32
2016;9;M;82;3503;32
2016;9;M;85;3503;30
2016;9;M;94;3503;31
2016;9;M;81;3503;30
2016;9;M;83;3503;30
2016;9;M;93;3503;32
2016;9;M;81;3503;31
2016;9;M;79;3503;31
2016;9;M;69;3503;31
2016;9;M;69;3503;31
2016;9;M;96;3503;32
2016;9;M;84;3503;30
2016;9;M;82;3503;30
2016;9;M;93;3503;30
2016;9;M;95;3503;30
2016;9;M;70;3503;30
2016;9;F;59;3503;31
2016;9;M;65;3503;31
2016;9;F;56;3503;32
2016;9;F;55;3503;32
2016;9;F;56;3503;32
2016;9;F;46;3503;32
2016;9;F;51;3503;32
2016;9;F;30;3503;
2016;9;F;54;3501;32
2016;9;F;59;3501;31
2016;9;F;58;3501;31
2016;9;F;60;3501;31
2016;9;F;57;3501;31
2016;9;M;71;3501;31
2016;9;M;88;3501;30
2016;9;M;72;3501;30
2016;9;M;81;3501;31
2016;9;F;5;3703;
2016;9;M;90;3501;30
2016;9;M;109;3501;31
2016;9;M;90;3501;30
2016;9;M;114;3501;31
2016;9;M;92;3501;31
2016;9;M;87;3501;31
2016;9;M;84;3501;31
2016;9;M;90;3501;31
2016;9;M;87;3501;31
2016;9;M;88;3501;31
2016;9;M;83;3501;31
2016;9;M;81;3501;31
2016;9;M;80;3501;30
2016;9;M;86;3501;31
2016;9;M;91;3501;31
2016;9;M;93;3501;31
2016;9;M;110;3501;31
2016;9;M;91;3501;31
2016;9;M;95;3501;31
2016;9;M;101;3501;31
2016;9;M;91;3501;31
2016;9;M;91;3501;31
2016;9;M;83;3501;31
2016;9;M;93;3501;31
2016;9;M;80;3501;31
2016;9;M;99;3501;31
2016;9;M;87;3501;31
2016;9;M;91;3501;31
2016;9;M;99;3501;31
2016;9;M;86;3501;31
2016;9;M;82;3501;31
2016;9;M;99;3501;31
2016;9;M;89;3501;31
2016;9;M;89;3501;31
2016;9;M;85;3501;31
2016;9;M;40;3501;
2016;9;M;87;3501;31
2016;9;M;79;3501;31
2016;9;M;79;3501;31
2016;9;M;83;3501;31
2016;9;M;84;3501;31
2016;9;M;83;3501;31
2016;9;M;93;3501;31
2016;9;M;89;3501;31
2016;9;M;78;3501;31
2016;9;M;82;3501;31
2016;9;M;92;3501;31
2016;9;M;88;3501;31
2016;9;M;85;3501;31
2016;9;M;86;3501;31
2016;9;M;98;3501;32
2016;9;M;77;3501;31
2016;9;F;58;3501;32
2016;9;M;70;3501;32
2016;9;F;61;3501;32
2016;9;F;66;3501;32
2016;9;F;66;3501;32
2016;9;F;52;3501;32
2016;9;M;19;3501;
2016;9;F;18;3501;
2016;9;M;69;3501;31
2016;9;M;90;3501;31
2016;9;M;76;3501;31
2016;9;F;58;3501;31
2016;9;M;84;3501;30
2016;9;M;93;3501;30
2016;9;M;72;3501;30
2016;9;M;78;3501;30
2016;9;M;83;3501;31
2016;9;F;55;3503;32
2016;9;F;47;3503;32
2016;9;F;53;3503;32
2016;9;F;57;3503;32
2016;9;F;46;3503;32
2016;9;F;53;3503;32
2016;9;F;52;3503;32
2016;9;F;68;3503;42
2016;9;F;62;3503;42
2016;9;F;63;3503;42
2016;9;F;60;3503;42
2016;9;F;48;3503;32
2016;9;F;83;3503;32
2016;9;F;46;3503;32
2016;9;F;46;3503;42
2016;9;F;54;3503;31
2016;9;F;49;3503;32
2016;9;F;59;3503;42
2016;9;F;54;3503;32
2016;9;F;50;3503;32
2016;9;F;47;3503;31
2016;9;F;50;3503;32
2016;9;F;50;3503;32
2016;9;F;55;3503;32
2016;9;M;83;3503;31
2016;9;M;110;3503;31
2016;9;M;62;3503;31
2016;9;M;101;3503;32
2016;9;M;104;3503;32
2016;9;M;68;3503;31
2016;9;M;65;3503;31
2016;9;F;64;3503;32
2016;9;M;30;3503;
2016;9;F;27;3503;
2016;9;M;24;3503;
2016;9;M;24;3503;
2016;9;M;26;3503;
2016;9;M;80;3501;31
2016;9;M;69;3501;32
2016;9;F;63;3501;32
2016;9;F;59;3501;32
2016;9;F;0;3501;0
2016;9;F;62;3501;32
2016;9;F;61;3501;32
2016;9;F;56;3501;32
2016;9;F;52;3501;32
2016;9;M;99;3703;31
2016;9;M;108;3703;32
2016;9;M;80;3703;32
2016;9;F;65;3703;32
2016;9;F;0;3703;0
2016;9;M;72;3703;32
2016;9;M;0;3703;0
2016;9;M;116;3703;32
2016;9;M;0;3703;0
2016;9;M;97;3703;31
2016;9;M;0;3703;0
2016;9;M;27;3703;
2016;9;M;29;3703;
2016;9;F;25;3703;
2016;9;F;24;3703;
2016;9;M;86;3501;31
2016;9;M;119;3502;31
2016;9;M;86;3502;30
2016;9;M;70;3502;31
2016;9;M;74;3502;31
2016;9;M;61;3502;31
2016;9;M;66;3501;31
2016;9;M;74;3501;31
2016;9;M;96;3501;32
2016;9;M;43;3501;
2016;9;M;34;3501;
2016;9;M;22;3501;
2016;9;F;29;3501;
2016;9;F;21;3501;
2016;9;M;23;3501;
2016;9;F;23;3501;
2016;9;M;21;3501;
2016;9;M;19;3501;
2016;9;M;22;3501;
2016;9;M;102;3208;32
2016;9;M;38;3208;
2016;9;M;32;3208;
2016;9;M;31;3208;
2016;9;M;26;3208;
2016;9;M;28;3208;
2016;9;M;26;3208;
2016;9;M;22;3208;
2016;9;M;30;3208;
2016;9;F;21;3208;
2016;9;F;22;3208;
2016;9;F;30;3208;
2016;9;F;23;3208;
2016;9;F;30;3208;
2016;9;M;22;3208;
2016;9;F;67;3208;32
2016;9;F;68;3208;32
2016;9;F;71;3208;32
2016;9;F;32;3208;
2016;9;F;47;3208;
2016;9;M;23;3209;
2016;9;M;20;3209;
2016;9;M;21;3209;
2016;9;M;22;3209;
2016;9;M;37;3201;
2016;9;F;24;3201;
2016;9;F;11;3201;
2016;9;F;11;3201;
2016;9;M;96;3202;30
2016;9;M;28;3210;
2016;9;M;10;3210;
2016;9;M;6;3210;
2016;9;F;20;3210;
2016;9;F;20;3210;
2016;9;F;17;3210;
2016;9;F;19;3210;
2016;9;F;20;3210;
2016;9;F;15;3210;
2016;9;M;14;3210;
2016;9;M;13;3210;
2016;9;F;34;3108;
2016;9;M;17;3108;
2016;9;F;18;3108;
2016;9;M;20;3108;
2016;9;F;19;3108;
2016;9;F;23;3108;
2016;9;F;30;3108;
2016;9;M;61;3108;32
2016;9;M;75;3108;30
2016;9;M;66;3108;30
2016;9;M;61;3108;30
2016;9;M;56;3108;30
2016;9;M;65;3108;30
2016;9;F;35;3108;
2016;9;M;33;3108;
2016;9;F;33;3108;
2016;9;M;71;3108;30
2016;9;M;69;3108;30
2016;9;M;59;3108;
2016;9;M;69;3108;30
2016;9;F;34;3108;
2016;9;F;20;3108;
2016;9;F;31;3108;
2016;9;M;76;3108;30
2016;9;M;101;3108;31
2016;9;M;63;3108;30
2016;9;M;61;3108;30
2016;9;M;44;3108;
2016;9;F;25;3108;
2016;9;M;19;3108;
2016;9;M;17;3108;
2016;9;F;18;3108;
2016;9;M;39;3108;
2016;9;F;27;3108;
2016;9;F;34;3108;
2016;9;F;20;3108;
2016;9;F;18;3108;
2016;9;M;64;3108;31
2016;9;M;57;3108;31
2016;9;M;76;3108;31
2016;9;M;51;3108;
